Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABHD5	1297.55073792554	0.496780220049983	0.0290289642923486	17.1132602268185	1.18194618876647e-65	2.01041126967962e-64
ABHD6	96.1875771863394	-0.00801850476380133	0.0557849421039529	-0.143739591032634	0.885706106688632	0.908260905273769
ABHD8	242.830308388407	0.600483256921982	0.0547115596175377	10.975436655794	5.0162906108977e-28	2.51115057191569e-27
ABI1	2771.91658723622	-0.102459370100174	0.0199669106334325	-5.13145834031112	2.87505863303888e-07	6.07485257896551e-07
ABI2	2793.68445688636	0.323328552535212	0.0313766917967987	10.3047368610161	6.70749905929685e-25	3.00720290934807e-24
ABI3	1.602181843636	-1.94500214329167	0.34223352169888	-5.6832601716994	1.32150996031107e-08	3.0016491951612e-08
ABI3BP	1.21333338024855	0.638981704943488	0.401098843988888	1.59307790216715	0.111142715966033	0.146954310409627
ABL1	5021.14747044379	-0.160077793980161	0.0273581955850899	-5.85118245398477	4.88090428867826e-09	1.13302065754316e-08
ABL2	1456.87869349578	0.279130990661555	0.0342047531732057	8.16059070059925	3.33390103350079e-16	1.06225057715006e-15
ABLIM1	3364.95858432575	-1.23599428778348	0.206646876759434	-5.98119026605157	2.21512942959867e-09	5.23168126029581e-09
ABLIM2	322.631965767238	-0.837121713300128	0.0560216350556028	-14.9428290064948	1.73452390529258e-50	1.84140510305651e-49
ABLIM3	515.109315530655	-1.4428257123337	0.14328722468261	-10.0694651287276	7.53869358948155e-24	3.25891272350642e-23
ABO	0.256832819683756	-0.573431212975487	0.763039817036952	-0.75150889923706	0.452346447038175	0.519610244524204
ABP1	44.8292999561806	2.14606905837182	0.345879267500155	6.20467677603965	5.48094333076532e-10	1.33020498069911e-09
ABR	5083.66601102617	-0.132963231228411	0.0339136139841917	-3.92064470894755	8.83123855373606e-05	0.000161089374164656
ABRA	0.175606569280253	-0.955183224795327	0.743281735307915	-1.28508905765003	0.198761164897174	0.25064179091039
ABRACL	1571.35634318093	0.0681186913833385	0.0322235768710935	2.11393948151191	0.0345204365482219	0.0494021861512911
ABT1	1511.67895800491	-0.0150417873514342	0.0225965163352902	-0.665668421107138	0.505623062359703	0.571943339398735
ABTB1	534.740837445692	-1.57758208075142	0.0768430321892471	-20.5299301160603	1.16342063812126e-93	4.61091649740784e-92
ABTB2	1224.92560295223	0.00767855290490871	0.0389843043655066	0.196965241008705	0.843854738567834	0.874465839563836
ACAA1	2973.46262621061	-0.227371960033342	0.0348164177058176	-6.53059605254419	6.55084596547974e-11	1.65788320282346e-10
ACAA2	1799.05397396181	-1.10292393263585	0.102003020338647	-10.8126595562972	2.99848596756313e-27	1.46056928815912e-26
ACACA	2707.41391131485	0.485139979027988	0.0404027811886199	12.007588704429	3.24159435405212e-33	1.9393476484535e-32
ACACB	296.982316699471	0.613227365384854	0.0762650332087835	8.04074081638541	8.92969541084762e-16	2.79587996517e-15
ACAD10	816.270244849905	-0.601138953710597	0.0309777908149503	-19.4054817304945	6.93653344645845e-84	2.06387599013765e-82
ACAD11	105.056758211978	-0.506677520572477	0.0597837175845819	-8.47517586800504	2.34724668817334e-17	7.85051452378722e-17
